artist,album,release year,rating
pede,elit ac nulla,1990,5
mauris enim leo,nulla dapibus dolor,1909,2
dolor,vel,1964,4
hac habitasse platea,ultricies,1925,2
nulla integer pede,augue,1928,1
odio donec vitae,porta volutpat,1942,4
curabitur at ipsum,proin risus,1911,4
sociis,tristique est,1988,2
tincidunt,ac,2010,3
auctor,erat volutpat in,1922,1
blandit mi in,cum sociis natoque,1935,4
neque,bibendum felis,1963,2
tincidunt,ipsum dolor,1922,3
bibendum felis sed,id turpis integer,1964,4
tortor quis turpis,amet diam in,1917,4
luctus cum sociis,aenean,1972,4
in,felis eu,1945,5
parturient montes,quis turpis eget,1921,5
vestibulum rutrum rutrum,orci luctus,1958,5
varius integer ac,sapien,1918,4
mauris lacinia,maecenas pulvinar lobortis,1983,2
morbi ut,dictumst,1988,4
et magnis,felis,1921,2
ante ipsum primis,proin leo odio,2009,4
ut erat curabitur,volutpat,1911,4
nisi,etiam pretium,1903,5
ut,vel,2004,1
morbi,risus dapibus augue,1984,1
quis augue luctus,lacus,1935,5
hac,pretium iaculis,1962,5
eu orci mauris,posuere cubilia,1916,5
eleifend,platea dictumst maecenas,1986,1
sapien,erat curabitur gravida,1959,3
accumsan tellus,in,1997,4
at lorem,fermentum,1967,2
luctus,consequat ut,1910,4
congue,accumsan tortor,1987,2
nunc proin at,augue a,1943,4
etiam justo,ultrices posuere cubilia,1980,1
suscipit nulla elit,pede posuere,1994,4
ultrices,hac habitasse platea,1982,1
sit,turpis,1992,5
sit,in quis,1952,2
ut blandit non,cras in,1908,5
sapien,tempus vel pede,2004,2
nascetur ridiculus,gravida nisi,1945,4
eu pede,accumsan odio,1936,1
laoreet ut rhoncus,sed lacus morbi,1915,3
nisi vulputate nonummy,magnis dis parturient,1962,4
pede lobortis ligula,velit nec,1903,2
curabitur convallis,porttitor lorem id,1908,5
duis at velit,tellus semper,1963,4
lorem ipsum dolor,urna ut tellus,2004,2
luctus et,tempor turpis,1951,2
sapien ut nunc,mattis nibh,1985,4
porttitor id,amet consectetuer adipiscing,1907,5
mi sit,orci luctus,1941,2
nisl,aliquam convallis,1982,5
nulla tellus in,dolor,1929,1
venenatis turpis,lorem id,1959,2
consectetuer,blandit,1990,3
sapien ut,ipsum integer,1973,4
condimentum,pede venenatis,1985,5
justo nec,sit amet,1994,4
gravida nisi,quam fringilla rhoncus,1948,1
non,maecenas tristique,1967,5
nullam sit amet,quis odio,1956,4
mauris morbi,volutpat in,1932,2
ridiculus mus,sit,1900,5
laoreet,venenatis tristique fusce,1922,4
justo nec condimentum,nibh in quis,1978,5
id,ac enim,1944,5
facilisi cras non,enim sit,2004,2
scelerisque,nam ultrices,1984,1
in faucibus,aliquet ultrices erat,1929,2
suspendisse potenti cras,ac nibh,1962,5
ut erat id,maecenas pulvinar lobortis,1969,5
ipsum,praesent lectus vestibulum,1927,3
massa quis augue,lacinia,1991,2
turpis donec posuere,eleifend luctus ultricies,1994,4
erat id,faucibus orci luctus,1902,3
ridiculus mus vivamus,erat quisque erat,1923,3
in,facilisi cras,1957,4
convallis,ut nulla,1987,1
cras pellentesque volutpat,amet,1953,5
consectetuer,a pede posuere,1912,4
varius,curabitur in,1959,3
lacinia aenean sit,nisl,1976,3
quam,lobortis,1965,3
elementum nullam,donec,1975,3
id ornare,curabitur,2010,5
cursus urna ut,eget vulputate ut,2011,1
rutrum rutrum,eu,1981,1
diam cras,eleifend,2000,4
luctus tincidunt nulla,turpis,1974,5
enim lorem,at ipsum,1905,5
pulvinar,dui,1923,5
purus aliquet at,risus dapibus,2003,5
libero ut,vel lectus in,1932,3
nisl aenean lectus,rutrum,1992,2
justo sollicitudin ut,quis,1927,2
ante,cras,2000,2
imperdiet,luctus,2003,5
eget tempus,elit proin,1926,3
amet,at velit,1957,2
duis,iaculis congue vivamus,1938,3
cubilia curae nulla,amet turpis elementum,1942,4
lobortis est phasellus,quis odio,1909,5
elementum,id turpis,2003,3
consequat metus,nunc rhoncus dui,1944,5
nisl duis ac,in,1972,3
libero convallis eget,purus phasellus,1949,4
lacus,posuere cubilia curae,1979,4
convallis,vitae mattis,1928,3
erat,posuere nonummy,1987,1
ridiculus mus vivamus,pretium,1905,5
morbi vel,morbi,1922,5
in congue etiam,vestibulum,1982,2
duis aliquam convallis,quis justo,1926,2
lobortis,dapibus duis,1955,5
mauris non,ante,1945,1
volutpat eleifend donec,primis in,1973,1
augue quam,placerat praesent blandit,1906,4
fusce,est quam pharetra,1988,3
tortor,et magnis dis,1973,3
in congue,amet cursus,1902,5
tortor duis mattis,ultrices posuere cubilia,2001,3
sem,luctus ultricies,1924,3
turpis,dis parturient,1991,3
integer ac,blandit,2005,5
non velit,orci mauris,1972,4
curae mauris viverra,at turpis,2011,3
ultrices phasellus,luctus,1912,4
at dolor quis,eu mi nulla,1929,4
nibh quisque id,nunc,1975,3
quisque arcu,massa id lobortis,1928,3
mattis nibh,luctus,1980,2
condimentum id luctus,lectus,1999,2
odio donec,ultrices phasellus,1944,1
id lobortis,ut tellus,1922,1
adipiscing elit,donec dapibus,2006,1
nunc,consequat morbi a,1932,5
duis aliquam,sed lacus morbi,1935,2
enim in tempor,nulla ultrices,1924,2
aliquet at,tortor id,2003,3
maecenas,erat curabitur gravida,1943,5
in tempus,ultricies eu nibh,1950,4
lorem ipsum dolor,nec,1909,3
eu est congue,aliquam,1965,5
at lorem integer,faucibus,1963,5
nulla facilisi,leo rhoncus,1968,1
pede,turpis,2003,2
arcu sed augue,mauris viverra diam,1999,3
platea dictumst morbi,nibh,1999,1
purus sit amet,amet diam in,1945,2
elit,quis odio consequat,2007,4
vivamus vestibulum,elementum pellentesque quisque,1946,2
quam suspendisse potenti,amet,1984,5
lectus aliquam sit,elementum,1987,3
quisque,pede ac,1996,1
posuere cubilia,maecenas tristique est,2004,3
dictumst maecenas ut,quam,1937,1
at vulputate vitae,id,1964,5
et eros vestibulum,et commodo vulputate,1923,3
enim blandit,in felis,2013,4
turpis eget elit,ultrices,1929,5
morbi non,nascetur ridiculus mus,1977,1
condimentum,a,1987,5
vivamus,in hac,2004,2
in,pede malesuada in,1954,3
nulla sed accumsan,ridiculus,1964,3
libero quis,quam pharetra,1949,1
amet,phasellus in felis,1939,4
lectus aliquam sit,pede lobortis,1930,5
eros vestibulum,in,1971,4
potenti,imperdiet nullam orci,1939,4
posuere,in est,1969,4
sapien,lacus,1927,2
ridiculus,ultrices,1952,3
imperdiet,eu magna vulputate,1925,2
accumsan,erat tortor sollicitudin,2000,3
massa volutpat convallis,sit amet nulla,1941,4
ullamcorper purus,maecenas,1939,2
in faucibus orci,suspendisse ornare consequat,1988,4
massa quis augue,sed,1914,1
pede,sagittis,1934,5
at turpis a,justo lacinia,1922,2
sagittis,sed vestibulum,1900,5
faucibus accumsan,metus,1919,4
primis,eros vestibulum,1935,5
congue diam id,sapien ut nunc,1901,1
nulla dapibus dolor,nam ultrices libero,1976,4
convallis eget eleifend,sapien,2008,5
condimentum,dictumst etiam faucibus,1945,3
rhoncus mauris enim,vehicula consequat morbi,1941,4
felis,luctus,1936,3
felis,id,1975,5
pede,interdum eu,1909,5
in ante vestibulum,donec posuere metus,2004,2
lacus,a,1949,2
mi in porttitor,commodo vulputate justo,1978,2
convallis tortor risus,faucibus orci,1900,4
nulla suspendisse,consequat lectus in,1976,1
a pede,in,1937,4
suscipit nulla elit,nulla,1947,2
ornare consequat,pellentesque viverra,1927,4
sollicitudin mi,faucibus orci luctus,1963,4
enim lorem,dapibus duis at,1999,5
in tempor turpis,maecenas ut massa,1948,5
eget,placerat,1906,2
tristique in tempus,lacus purus aliquet,1927,2
sodales sed,et,1926,4
interdum in,sit,1953,3
sollicitudin,posuere,1980,4
sed interdum,nec,1982,5
aliquam,sit,1974,5
felis sed,sapien,2007,2
arcu adipiscing molestie,vulputate justo,1906,1
elementum,massa,1991,2
vehicula consequat morbi,nulla justo,2010,3
iaculis diam erat,venenatis non,1935,5
in consequat,curabitur gravida nisi,1904,2
sagittis dui,in faucibus orci,1982,1
mattis nibh,blandit,1943,4
ultrices,sapien cursus,1914,4
lacinia eget,fermentum,2004,5
quam sapien,dapibus dolor,1943,5
sapien a libero,tincidunt lacus at,1934,3
nonummy integer non,cubilia curae duis,1908,2
cursus id,vestibulum ac,1923,5
id ligula suspendisse,risus semper,1985,3
duis,eget eleifend,1995,2
leo,est,1902,1
in,sollicitudin,1918,1
nulla,in leo,1912,1
placerat ante nulla,et ultrices posuere,2014,3
commodo,magna at nunc,1910,3
blandit,aenean lectus,1953,4
id lobortis convallis,primis in,1929,4
lacus curabitur at,augue vestibulum ante,1948,1
massa tempor convallis,vestibulum ante ipsum,1929,4
aliquet ultrices erat,odio odio,1969,3
magna,ut,1907,4
felis donec semper,sagittis dui vel,1924,2
suspendisse potenti,sed nisl nunc,1987,5
mauris viverra,libero nullam sit,1938,2
platea,at dolor,1916,3
quis lectus,nulla suscipit ligula,1935,1
leo rhoncus,non lectus aliquam,1932,2
nisl nunc rhoncus,rutrum ac lobortis,1961,1
viverra,placerat praesent blandit,1930,1
platea,libero nam,1981,1
quam pede,fusce lacus purus,1933,4
iaculis justo in,lorem integer,1917,2
est phasellus sit,sed justo,1972,4
potenti,dis,1945,3
in,potenti,1919,3
varius,sed,1969,3
ornare,fusce congue diam,1943,4
ante vestibulum,magna bibendum,1997,3
nunc donec,quam turpis adipiscing,2006,5
morbi non lectus,lectus,1967,1
aenean lectus pellentesque,luctus,1921,4
sit amet,sapien,1943,5
mattis,sit amet eros,1946,4
et eros vestibulum,dis parturient,1994,5
maecenas tincidunt,ut,1937,5
erat quisque erat,ridiculus mus vivamus,1990,5
auctor sed,penatibus,2007,5
condimentum neque,justo,1909,3
cubilia curae duis,aenean sit,2004,4
luctus,et,1912,1
cras in,diam id ornare,1968,2
lobortis ligula,accumsan tortor,2008,4
est,vivamus in felis,1938,5
nulla justo,molestie,1900,1
nunc purus phasellus,auctor sed tristique,1909,3
venenatis tristique,nisi,1966,1
rutrum nulla tellus,volutpat,1991,1
viverra eget congue,morbi ut odio,1992,5
vel ipsum praesent,augue vel accumsan,2011,5
amet eleifend pede,sed accumsan,1974,3
mus,convallis nulla,1910,1
tristique fusce,lorem integer tincidunt,1941,3
venenatis tristique fusce,eleifend pede,1911,5
consequat dui nec,praesent blandit lacinia,1915,1
mattis pulvinar,eros suspendisse accumsan,1905,1
erat,lectus in quam,1958,3
luctus,tincidunt,1952,2
lacinia,orci luctus et,1967,2
nulla,enim lorem ipsum,1926,1
sapien non mi,tincidunt,2014,4
augue,nulla sed accumsan,2006,4
sit amet,aliquam augue,1934,3
nulla suspendisse potenti,congue,2014,2
posuere,eget rutrum,1948,1
nec euismod scelerisque,mauris vulputate elementum,1913,5
id,est,1929,1
pede ac diam,pellentesque at nulla,2004,1
nonummy,in eleifend quam,1943,3
ornare imperdiet sapien,vitae,1903,4
molestie,leo maecenas pulvinar,1997,5
nam nulla,lacus purus,1934,3
purus phasellus,ridiculus,1901,4
sodales,tempor convallis,1933,1
cras non velit,vestibulum eget vulputate,2006,1
tortor eu pede,eget semper,1992,1
congue risus,justo pellentesque,1974,3
fringilla,id,1953,4
lectus,suspendisse ornare,1934,2
bibendum felis sed,tristique fusce,1987,4
suspendisse potenti cras,adipiscing,2000,3
mi integer,ornare imperdiet sapien,1990,1
morbi quis tortor,maecenas rhoncus aliquam,2007,2
curae mauris viverra,interdum eu tincidunt,1971,4
risus auctor sed,justo,1907,5
malesuada,pede venenatis non,1920,4
accumsan odio,aliquet maecenas leo,1957,3
proin interdum mauris,lacinia nisi venenatis,1911,3
massa,potenti cras,2012,5
duis ac,nec euismod,1952,1
ligula in lacus,nec euismod,1964,2
posuere cubilia,convallis,1994,1
tellus semper,integer tincidunt ante,2001,5
ligula,commodo placerat,1956,2
tempus vivamus,aliquam lacus morbi,2008,2
sed,nulla,2002,3
cubilia curae mauris,et tempus semper,1971,3
sit,sed,1992,1
in faucibus orci,vestibulum quam sapien,1966,2
imperdiet sapien urna,laoreet,1959,5
interdum mauris ullamcorper,integer ac,2001,4
nibh in,in lacus curabitur,1955,4
ipsum ac,sociis natoque,1940,5
ut odio cras,ullamcorper augue,1997,2
et magnis dis,orci,1932,2
accumsan,luctus ultricies,1944,4
donec,id nulla,1915,2
turpis enim blandit,felis ut,1947,3
nisi nam,elementum,2015,3
vestibulum velit id,risus dapibus augue,1999,2
ligula pellentesque,venenatis non,1962,2
tristique fusce congue,tellus nulla,1998,5
eu,lacus,1928,5
pellentesque ultrices,blandit nam,2010,3
rhoncus aliquet pulvinar,vestibulum quam sapien,1933,2
blandit non,leo odio,1950,3
donec ut,hac habitasse,1975,3
molestie lorem,at turpis,1949,4
sed sagittis,lacus purus aliquet,2014,2
felis,fusce,1950,1
donec,ac est,1952,2
mi,nunc commodo,2001,3
vitae mattis,massa quis,1953,2
a,accumsan,1916,1
interdum venenatis turpis,aenean sit,1915,5
nec,amet diam,1911,4
eget rutrum at,nullam,1953,4
luctus,mattis,1914,1
primis in,vel lectus in,2013,1
vel enim,vestibulum proin eu,2002,5
nullam orci pede,lacus morbi sem,2014,1
vulputate elementum nullam,porttitor id consequat,1910,3
vestibulum ante ipsum,elementum nullam varius,1920,2
tempor,lobortis ligula sit,2005,2
ultrices posuere cubilia,platea,2014,3
dapibus at diam,congue,1954,3
magnis,vel enim,1958,4
in quis,sit amet,1996,4
enim,nulla suscipit,1925,1
sociis,massa volutpat convallis,1985,1
et ultrices posuere,magnis dis parturient,1901,2
turpis enim blandit,primis in,1972,1
libero quis,erat volutpat,1901,4
donec posuere,ornare imperdiet,1930,5
nec molestie,consequat varius,1941,1
non,dapibus at,2000,1
mauris ullamcorper purus,eget orci vehicula,1971,1
mollis molestie lorem,in eleifend,1991,2
libero,convallis,1993,5
pulvinar lobortis,sit amet,1972,5
turpis,primis,1945,2
quam a,nec euismod,1957,1
vehicula consequat morbi,nunc,1961,3
imperdiet nullam,pellentesque at nulla,2005,2
aenean auctor gravida,est,1928,4
nulla suspendisse,sed interdum venenatis,1906,2
commodo placerat,odio,2010,3
sem mauris,sit,2010,4
at turpis,nulla nisl,1983,3
eu,magnis dis,1970,5
in,arcu libero rutrum,1906,1
eget massa tempor,nec molestie sed,1980,3
porttitor lacus,nibh ligula,1922,1
massa tempor,primis in,1937,2
duis,turpis adipiscing lorem,1934,4
eu mi,consectetuer adipiscing elit,1942,5
vestibulum eget vulputate,magnis dis parturient,2002,4
accumsan felis,tristique fusce congue,1905,2
leo,enim,1958,4
posuere cubilia,arcu,1917,1
elit,nibh,1984,3
eget,in,1976,1
eleifend luctus,in consequat,1990,1
odio,lacinia nisi,1913,1
eleifend donec,venenatis turpis enim,1978,4
ac enim in,nulla,1906,4
turpis,libero quis,1983,2
ut ultrices,varius ut,1921,4
lobortis,cum sociis,1909,2
est phasellus sit,pellentesque volutpat dui,1952,4
amet consectetuer,ultricies eu nibh,1942,5
vel ipsum,tempor,1978,5
ut nunc vestibulum,purus aliquet,1995,5
et ultrices posuere,felis eu sapien,1995,1
erat eros,in hac habitasse,1951,1
ridiculus mus etiam,praesent,1960,1
magnis dis parturient,ornare consequat lectus,1952,1
consequat nulla,ac diam cras,1939,1
luctus rutrum nulla,etiam,1935,3
ut tellus,integer,1960,1
vel,felis donec,2015,1
non mauris,tellus nulla,1948,4
maecenas leo,sagittis nam,1977,2
tortor quis turpis,quis tortor id,1932,5
in tempus sit,vitae quam,1929,4
ipsum dolor,diam neque,1926,4
ultrices posuere,molestie nibh in,1909,3
nulla integer,diam vitae quam,1981,3
quam pede,tellus,2004,4
duis bibendum felis,quis justo,1929,3
convallis morbi odio,posuere metus,1946,1
nulla ac enim,placerat,1956,2
lacinia erat vestibulum,euismod,1955,3
eu felis fusce,a feugiat et,1975,1
odio curabitur convallis,ultrices enim,1959,5
et,eget eleifend luctus,1933,3
mattis,lacus,1940,4
faucibus orci luctus,sapien varius ut,1933,5
sed nisl nunc,velit eu,1993,2
ipsum integer,nec,1925,2
donec posuere,lectus in quam,1910,5
luctus et ultrices,magna,1916,1
semper est,nisi volutpat eleifend,1969,4
duis at velit,commodo placerat praesent,1942,5
in purus eu,sollicitudin,1913,1
vestibulum ante ipsum,aenean lectus pellentesque,1979,5
rutrum at lorem,diam,1960,1
vel,diam,1984,3
nulla ac,ultrices,1931,4
magna,interdum,1992,4
interdum mauris,tristique in,1905,5
viverra diam vitae,neque libero convallis,1940,1
cras pellentesque,dapibus augue,2006,4
orci luctus et,adipiscing,2004,3
quis,nulla tempus vivamus,1994,4
adipiscing molestie hendrerit,vel nulla eget,1913,5
pede lobortis,at feugiat non,1991,3
eleifend,ipsum dolor,1945,3
nullam sit amet,in hac habitasse,1911,1
in,nulla tempus,1911,5
posuere,leo maecenas pulvinar,1904,2
odio donec vitae,vivamus,1905,3
vestibulum,pulvinar,1939,4
blandit lacinia erat,duis bibendum,1938,3
ac diam,ut blandit,1935,3
suscipit,nullam,1918,2
pede,sapien iaculis congue,2011,3
aliquam lacus,etiam faucibus cursus,2013,5
at velit,pede,1957,5
in,vulputate,1996,2
porta,erat tortor sollicitudin,1999,2
euismod,id massa id,1977,2
nisl nunc nisl,felis sed lacus,1910,4
et,vehicula consequat,1983,5
sit amet,luctus nec,1981,1
integer,lacus purus,1994,1
ipsum primis,est,2008,2
hac habitasse platea,consectetuer,1981,3
primis,luctus rutrum,1907,1
ut nulla,ante nulla justo,1984,5
gravida nisi,ut volutpat sapien,1984,5
fusce,nec condimentum,1945,3
sit amet nunc,rhoncus mauris,1946,4
eu interdum eu,aenean,2008,3
et,suspendisse potenti nullam,2002,3
sit amet cursus,at turpis a,1957,1
sapien placerat ante,mi,1979,2
orci luctus et,habitasse platea,1925,5
molestie hendrerit at,dignissim,2005,3
pede,erat eros viverra,2008,3
blandit lacinia,cursus vestibulum proin,1902,4
consectetuer adipiscing,proin,1987,2
lacinia aenean,tincidunt nulla mollis,1989,4
justo maecenas,rutrum nulla tellus,1994,1
morbi,sapien cursus,2008,5
posuere,congue,1906,3
vel enim,purus,1982,4
morbi odio,urna pretium,1983,4
lorem id,sapien a,1929,1
et ultrices posuere,interdum mauris,2007,4
proin eu,lacinia,1901,4
id,lectus pellentesque eget,1992,3
est donec odio,et ultrices,1929,3
sit,in,1929,5
amet,amet erat nulla,1920,1
a,duis aliquam convallis,1963,1
eu tincidunt in,morbi quis tortor,1963,5
volutpat in,vivamus,1915,3
proin interdum,felis,1939,1
aenean fermentum donec,sit,1948,3
nibh fusce lacus,morbi,1968,4
sagittis nam,mi integer ac,1972,5
sed,felis donec semper,1908,2
aliquam erat,at lorem,1929,1
est,tristique,2015,1
nisi venenatis,proin eu,1977,3
lectus,justo maecenas,2006,1
sed,venenatis turpis enim,1907,2
rutrum ac lobortis,curabitur gravida nisi,1917,1
est,vitae ipsum,1957,1
ipsum aliquam,semper porta,1995,2
est,id nisl venenatis,1919,4
cubilia curae nulla,quis lectus,1995,1
bibendum felis,morbi non,1968,2
cras pellentesque volutpat,ut suscipit,2002,3
curae nulla dapibus,justo,1949,3
aliquet pulvinar,mattis odio,1930,5
sapien urna pretium,semper sapien a,2004,3
lorem id,a,1930,1
condimentum id luctus,eros elementum pellentesque,1975,3
orci mauris,at diam,1975,5
sit amet sem,proin leo odio,1981,3
mus etiam vel,et ultrices,1996,1
nec euismod,ipsum,1938,2
nisl duis,elementum in hac,1909,4
vivamus,eget orci,1991,5
laoreet,sed,1985,1
libero nam dui,phasellus id,1912,5
venenatis tristique fusce,quam fringilla,1945,4
ut,in,1916,4
tortor eu,dui maecenas,1998,4
aliquam,nec,1994,5
tortor duis mattis,erat curabitur,1965,2
nulla ultrices,sed magna,2013,5
integer,porta volutpat,2000,4
eleifend pede,luctus et,1962,3
rutrum,donec posuere metus,2008,5
nam congue risus,erat,1920,3
lorem id ligula,ut suscipit a,1994,4
vehicula,laoreet ut,1979,1
ut suscipit,duis,1950,1
sodales,nisi,1937,5
vestibulum,pede,1960,1
congue,diam,1938,1
mus etiam vel,adipiscing,2013,2
ut at,lectus suspendisse potenti,1984,3
curae,curabitur convallis,1977,3
pede lobortis ligula,nisi,1931,2
nisl nunc nisl,potenti nullam,1966,3
adipiscing molestie,nulla sed,1944,4
augue,morbi non lectus,1945,4
malesuada in imperdiet,rhoncus,1977,1
mus vivamus,mauris viverra,1972,4
adipiscing,sed,1954,4
in magna bibendum,lorem,1910,4
augue vel accumsan,faucibus accumsan odio,1989,4
sed,id turpis integer,1945,5
felis,justo in blandit,1963,3
nam dui proin,sodales scelerisque mauris,1940,1
libero nam dui,fusce lacus,1946,1
nec,leo pellentesque,1903,4
dictumst aliquam augue,pretium iaculis,1958,5
amet,ut,1926,4
interdum mauris,in felis,2004,3
in felis,phasellus in felis,1944,5
sapien arcu,turpis,1944,2
sed ante vivamus,justo,2006,3
ante ipsum primis,amet lobortis sapien,1966,1
sit amet erat,id turpis integer,1924,3
montes nascetur,erat,2013,4
ridiculus,dui maecenas,2010,3
massa tempor,neque,1931,3
nullam varius,mus vivamus,1976,4
ultrices,ultrices aliquet maecenas,1958,2
eu felis,arcu libero,1903,1
turpis,donec pharetra,1955,4
eu est,felis,1919,1
vel,nunc commodo placerat,1908,5
in,dolor,1967,4
augue vestibulum ante,odio,1979,3
consectetuer,sit amet,1906,4
vel sem sed,est lacinia nisi,1976,2
placerat,curae,2006,2
in faucibus orci,lacinia eget,1913,3
libero rutrum,massa id,1936,1
eget orci vehicula,leo maecenas pulvinar,1947,4
elit ac,integer,1968,3
ut ultrices,vestibulum,2009,4
sit,eu pede,1937,4
lobortis est phasellus,felis eu sapien,1984,1
vitae,at diam,1976,1
justo lacinia eget,vitae,1995,3
phasellus id,odio porttitor id,1976,5
et ultrices posuere,elementum,1945,3
turpis,risus dapibus augue,1903,3
facilisi,pretium,1916,4
eu,cras,1982,4
consectetuer,morbi,1918,2
vehicula consequat,eu sapien,1908,2
erat,justo,1928,2
a,tincidunt,1977,4
ac diam cras,vivamus metus,1926,3
nibh in,nisl duis bibendum,1952,5
sit amet,massa,1902,2
velit donec,risus dapibus augue,1987,5
vestibulum aliquet,nulla justo,1954,1
adipiscing lorem,dui proin,2015,3
ac,tellus,1930,4
quam a,nullam varius nulla,1997,3
porttitor lorem,in,1944,4
posuere cubilia curae,interdum,2009,3
felis eu sapien,diam nam,1954,4
justo aliquam quis,luctus,2009,3
integer aliquet massa,primis,1925,2
libero ut,in,1945,5
suscipit,convallis tortor,1948,5
quisque arcu,venenatis non sodales,1922,5
pellentesque at nulla,tempor,1994,2
eu interdum eu,id mauris vulputate,1938,3
gravida sem praesent,tristique,1938,3
pede venenatis non,erat,1999,5
eleifend,neque sapien,1960,2
augue vestibulum,turpis a,1997,4
ultrices,quam pharetra,1979,2
felis donec,non lectus,1917,3
justo etiam,varius integer ac,1946,3
